Timestamp;Speed;DistanceFromCenter;TrackAngle;TrackDistance;WorldPosition;WorldRotation;Throttle;Brakes;Steering;Gear
1731756939.1482477;0.0;-3.88560939;-0.806971;2005.2417;{'X': -8.512001, 'Y': -0.0540509224, 'Z': 3.92999268};{'X': 359.9761, 'Y': 0.0, 'Z': 9.659149e-06};90;0;38;1
1731756939.3337336;0.8044294;-3.883404;-0.7689767;2005.258;{'X': -8.495655, 'Y': -0.054749012, 'Z': 3.92758179};{'X': 359.975464, 'Y': 0.0475387573, 'Z': -0.000170314481};90;0;41;1
1731756939.3489451;0.8044294;-3.883404;-0.7689767;2005.258;{'X': -8.495655, 'Y': -0.054749012, 'Z': 3.92758179};{'X': 359.975464, 'Y': 0.0475387573, 'Z': -0.000170314481};90;0;36;1
1731756939.3658555;-0.239770979;-3.88268948;-0.751474;2005.26306;{'X': -8.49068451, 'Y': -0.054623723, 'Z': 3.92678833};{'X': 359.975739, 'Y': 0.06969452, 'Z': -0.000211420673};90;0;41;1
1731756939.3827646;-0.109959982;-3.88170052;-0.732218862;2005.26953;{'X': -8.484203, 'Y': -0.054507494, 'Z': 3.925705};{'X': 359.97583, 'Y': 0.0944519043, 'Z': -0.0002875266};90;0;40;1
1731756939.3983734;0.0399436951;-3.880513;-0.7127182;2005.27722;{'X': -8.476501, 'Y': -0.054402113, 'Z': 3.924408};{'X': 359.975769, 'Y': 0.120552063, 'Z': -0.000364773121};90;0;39;1
1731756939.4170473;0.8597785;-3.879173;-0.6918207;2005.28589;{'X': -8.467834, 'Y': -0.0543086529, 'Z': 3.92295837};{'X': 359.975616, 'Y': 0.148460388, 'Z': -0.0004205177};90;0;39;1
1731756939.4347663;1.28355682;-3.87772632;-0.668225348;2005.29553;{'X': -8.458183, 'Y': -0.0542267561, 'Z': 3.92137146};{'X': 359.975433, 'Y': 0.181030273, 'Z': -0.0004427041};90;0;38;1
1731756939.4503412;1.28355682;-3.87772632;-0.668225348;2005.29553;{'X': -8.458183, 'Y': -0.0542267561, 'Z': 3.92137146};{'X': 359.975433, 'Y': 0.181030273, 'Z': -0.0004427041};90;0;38;1
1731756939.4671779;0.396588534;-3.87608123;-0.6373509;2005.30664;{'X': -8.447121, 'Y': -0.054156065, 'Z': 3.919571};{'X': 359.97522, 'Y': 0.226013184, 'Z': -0.000479145441};90;0;41;1
1731756939.4818077;0.6782796;-3.87405467;-0.6061952;2005.31921;{'X': -8.434582, 'Y': -0.0540957451, 'Z': 3.91737366};{'X': 359.975067, 'Y': 0.274169922, 'Z': -0.0005697672};90;0;38;1
